t,theta_deg,force_N,pin_radial_mm,pin_axial_mm,pen_travel_mm,pen_seat_mm,pen_stop_mm,pen_interface_mm
0.030000,-0.000000,0.003245,0.192804,0.019344,0.000000,0.000007,0.000000,0.000012
0.030500,-0.000000,0.003300,0.192811,0.019344,0.000000,0.000007,0.000000,0.000012
0.031000,-0.000000,0.003355,0.192818,0.019344,0.000000,0.000007,0.000000,0.000012
0.031500,-0.000000,0.003410,0.192825,0.019344,0.000000,0.000007,0.000000,0.000012
0.032000,-0.000000,0.003465,0.192833,0.019344,0.000000,0.000007,0.000000,0.000012
0.032500,-0.000000,0.003520,0.192840,0.019344,0.000000,0.000007,0.000000,0.000012
0.033000,-0.000000,0.003575,0.192847,0.019344,0.000000,0.000007,0.000000,0.000012
0.033500,-0.000000,0.003630,0.192855,0.019344,0.000000,0.000007,0.000000,0.000013
0.034000,-0.000000,0.003685,0.192862,0.019344,0.000000,0.000007,0.000000,0.000013
0.034500,-0.000000,0.003740,0.192869,0.019344,0.000000,0.000007,0.000000,0.000013
0.035000,-0.000000,0.003795,0.192877,0.019344,0.000000,0.000007,0.000000,0.000013
0.035500,-0.000000,0.003850,0.192884,0.019344,0.000000,0.000007,0.000000,0.000013
0.036000,-0.000000,0.003905,0.192891,0.019345,0.000000,0.000007,0.000000,0.000013
0.036500,-0.000000,0.003960,0.192899,0.019345,0.000000,0.000007,0.000000,0.000013
0.037000,-0.000000,0.004015,0.192906,0.019345,0.000000,0.000007,0.000000,0.000013
0.037500,-0.000000,0.004070,0.192914,0.019345,0.000000,0.000007,0.000000,0.000013
0.038000,-0.000000,0.004125,0.192921,0.019345,0.000000,0.000007,0.000000,0.000013
0.038500,-0.000000,0.004180,0.192929,0.019345,0.000000,0.000007,0.000000,0.000013
0.039000,-0.000000,0.004235,0.192936,0.019345,0.000000,0.000007,0.000000,0.000013
0.039500,-0.000000,0.004290,0.192944,0.019345,0.000000,0.000007,0.000000,0.000013
0.040000,-0.000000,0.004345,0.192952,0.019345,0.000000,0.000007,0.000000,0.000013
0.040500,-0.000000,0.004400,0.192959,0.019345,0.000000,0.000007,0.000000,0.000014
0.041000,-0.000000,0.004455,0.192967,0.019345,0.000000,0.000007,0.000000,0.000014
0.041500,-0.000000,0.004510,0.192975,0.019345,0.000000,0.000007,0.000000,0.000014
0.042000,-0.000000,0.004565,0.192983,0.019345,0.000000,0.000007,0.000000,0.000014
0.042500,-0.000000,0.004620,0.192991,0.019345,0.000000,0.000007,0.000000,0.000014
0.043000,-0.000000,0.004675,0.192999,0.019345,0.000000,0.000007,0.000000,0.000014
0.043500,-0.000000,0.004730,0.193007,0.019345,0.000000,0.000007,0.000000,0.000014
0.044000,-0.000000,0.004785,0.193015,0.019345,0.000000,0.000007,0.000000,0.000014
0.044500,-0.000000,0.004840,0.193023,0.019345,0.000000,0.000007,0.000000,0.000014
0.045000,-0.000000,0.004895,0.193031,0.019345,0.000000,0.000007,0.000000,0.000014
0.045500,-0.000000,0.004950,0.193039,0.019345,0.000000,0.000007,0.000000,0.000014
0.046000,-0.000000,0.005005,0.193048,0.019345,0.000000,0.000007,0.000000,0.000014
0.046500,-0.000000,0.005060,0.193056,0.019345,0.000000,0.000007,0.000000,0.000014
0.047000,-0.000000,0.005115,0.193065,0.019345,0.000000,0.000007,0.000000,0.000015
0.047500,-0.000000,0.005170,0.193073,0.019345,0.000000,0.000007,0.000000,0.000015
0.048000,-0.000000,0.005225,0.193082,0.019345,0.000000,0.000007,0.000000,0.000015
0.048500,-0.000000,0.005280,0.193091,0.019345,0.000000,0.000007,0.000000,0.000015
0.049000,-0.000000,0.005335,0.193099,0.019345,0.000000,0.000007,0.000000,0.000015
0.049500,-0.000000,0.005390,0.193108,0.019345,0.000000,0.000007,0.000000,0.000015
0.050000,0.000000,0.005445,0.193117,0.019345,0.000000,0.000007,0.000000,0.000015
0.050500,0.000000,0.005500,0.193126,0.019345,0.000000,0.000007,0.000000,0.000015
0.051000,0.000000,0.005555,0.193135,0.019346,0.000000,0.000007,0.000000,0.000015
0.051500,0.000000,0.005610,0.193145,0.019345,0.000000,0.000007,0.000000,0.000015
0.052000,0.000000,0.005665,0.193154,0.019346,0.000000,0.000007,0.000000,0.000015
0.052500,0.000000,0.005720,0.193164,0.019346,0.000000,0.000007,0.000000,0.000015
0.053000,0.000000,0.005775,0.193174,0.019346,0.000000,0.000007,0.000000,0.000015
0.053500,0.000000,0.005830,0.193183,0.019346,0.000000,0.000007,0.000000,0.000016
0.054000,0.000000,0.005885,0.193193,0.019346,0.000000,0.000007,0.000000,0.000016
0.054500,0.000000,0.005940,0.193204,0.019346,0.000000,0.000007,0.000000,0.000016
0.055000,0.000000,0.005995,0.193214,0.019346,0.000000,0.000007,0.000000,0.000016
0.055500,0.000000,0.006050,0.193224,0.019346,0.000000,0.000007,0.000000,0.000016
0.056000,0.000000,0.006105,0.193235,0.019346,0.000000,0.000007,0.000000,0.000016
0.056500,0.000000,0.006160,0.193245,0.019346,0.000000,0.000007,0.000000,0.000016
0.057000,0.000000,0.006215,0.193256,0.019346,0.000000,0.000007,0.000000,0.000016
0.057500,0.000000,0.006270,0.193267,0.019346,0.000000,0.000007,0.000000,0.000017
0.058000,0.000000,0.006325,0.193278,0.019346,0.000000,0.000007,0.000000,0.000017
0.058500,0.000000,0.006380,0.193289,0.019346,0.000000,0.000007,0.000000,0.000017
0.059000,0.000000,0.006435,0.193301,0.019346,0.000000,0.000007,0.000000,0.000017
0.059500,0.000000,0.006490,0.193312,0.019346,0.000000,0.000007,0.000000,0.000017
0.060000,0.000000,0.006545,0.193324,0.019346,0.000000,0.000007,0.000000,0.000033
0.060500,0.000000,0.006600,0.193333,0.019345,0.000000,0.000007,0.000000,0.000027
0.061000,0.000000,0.006655,0.193343,0.019345,0.000000,0.000007,0.000000,0.000022
0.061500,0.000000,0.006710,0.193353,0.019344,0.000000,0.000007,0.000000,0.000018
