t,theta_deg,force_N,pen_travel_mm,pen_seat_mm,pen_interface_mm
1.65900,214.9548,-0.07500,0.000000,0.000000,0.002123
1.65950,214.7908,-0.07515,0.000000,0.000000,0.000887
1.66000,214.6253,-0.07530,0.000000,0.000000,0.000169
1.66050,214.4545,-0.07545,0.000000,0.000000,0.002510
1.66100,214.2812,-0.07560,0.000000,0.000000,0.002561
1.66150,214.1165,-0.07575,0.000000,0.000000,0.001572
1.66200,213.9518,-0.07590,0.000000,0.000000,0.000487
1.66250,213.7872,-0.07605,0.000000,0.000000,0.000453
1.66300,213.6200,-0.07620,0.000000,0.000000,0.000381
1.66350,213.4563,-0.07635,0.000000,0.000000,0.000119
1.66400,213.2900,-0.07650,0.000000,0.000000,0.000092
1.66450,213.1183,-0.07665,0.000000,0.000000,0.003079
1.66500,212.9514,-0.07680,0.000000,0.000000,0.002691
1.66550,212.7877,-0.07695,0.000000,0.000000,0.001284
1.66600,212.6240,-0.07710,0.000000,0.000000,0.000057
1.66650,212.4576,-0.07725,0.000000,0.000000,0.000051
1.66700,212.2858,-0.07740,0.000000,0.000000,0.002550
1.66750,212.1237,-0.07755,0.000000,0.000000,0.000764
1.66800,211.9589,-0.07770,0.000000,0.000000,0.000640
1.66850,211.7887,-0.07785,0.000000,0.000000,0.002792
1.66900,211.6254,-0.07800,0.000000,0.000000,0.002926
1.66950,211.4629,-0.07815,0.000000,0.000000,0.002617
1.67000,211.3001,-0.07830,0.000000,0.000000,0.002342
1.67050,211.1372,-0.07845,0.000000,0.000000,0.002141
1.67100,210.9757,-0.07860,0.000000,0.000000,0.000922
1.67150,210.8142,-0.07875,0.000000,0.000000,0.000158
1.67200,210.6500,-0.07890,0.000000,0.000000,0.000123
1.67250,210.4890,-0.07905,0.000000,0.000000,0.000292
1.67300,210.3252,-0.07920,0.000000,0.000000,0.000438
1.67350,210.1646,-0.07935,0.000000,0.000000,0.000901
1.67400,210.0013,-0.07950,0.000000,0.000000,0.000142
1.67450,209.8324,-0.07965,0.000000,0.000000,0.001841
1.67500,209.6713,-0.07980,0.000000,0.000000,0.002039
1.67550,209.5110,-0.07995,0.000000,0.000000,0.001944
1.67600,209.3507,-0.08010,0.000000,0.000000,0.001827
1.67650,209.1899,-0.08025,0.000000,0.000000,0.001735
1.67700,209.0285,-0.08040,0.000000,0.000000,0.001355
1.67750,208.8658,-0.08055,0.000000,0.000000,0.001090
1.67800,208.6976,-0.08070,0.000000,0.000000,0.003820
1.67850,208.5372,-0.08085,0.000000,0.000000,0.002871
1.67900,208.3739,-0.08100,0.000000,0.000000,0.002242
1.67950,208.2049,-0.08115,0.000000,0.000000,0.002734
1.68000,208.0459,-0.08130,0.000000,0.000000,0.001438
1.68050,207.8871,-0.08145,0.000000,0.000000,0.001153
1.68100,207.7254,-0.08160,0.000000,0.000000,0.000868
1.68150,207.5580,-0.08175,0.000000,0.000000,0.001205
1.68200,207.3994,-0.08190,0.000000,0.000000,0.000679
1.68250,207.2416,-0.08205,0.000000,0.000000,0.000580
1.68300,207.0809,-0.08220,0.000000,0.000000,0.000555
1.68350,206.9145,-0.08235,0.000000,0.000000,0.002447
1.68400,206.7579,-0.08250,0.000000,0.000000,0.001276
1.68450,206.6018,-0.08265,0.000000,0.000000,0.000390
1.68500,206.4455,-0.08280,0.000000,0.000000,0.000378
1.68550,206.2863,-0.08295,0.000000,0.000000,0.000286
1.68600,206.1213,-0.08310,0.000000,0.000000,0.003351
1.68650,205.9662,-0.08325,0.000000,0.000000,0.002411
1.68700,205.8119,-0.08340,0.000000,0.000000,0.001246
1.68750,205.6575,-0.08355,0.000000,0.000000,0.000332
1.68800,205.5029,-0.08370,0.000000,0.000000,0.000366
1.68850,205.3454,-0.08385,0.000000,0.000000,0.000473
1.68900,205.1910,-0.08400,0.000000,0.000000,0.000311
1.68950,205.0336,-0.08415,0.000000,0.000000,0.000992
1.69000,204.8784,-0.08430,0.000000,0.000000,0.000128
1.69050,204.7203,-0.08445,0.000000,0.000000,0.000098
1.69100,204.5649,-0.08460,0.000000,0.000000,0.000094
1.69150,204.4066,-0.08475,0.000000,0.000000,0.000153
1.69200,204.2424,-0.08490,0.000000,0.000000,0.003478
1.69250,204.0874,-0.08505,0.000000,0.000000,0.001670
1.69300,203.9326,-0.08520,0.000000,0.000000,0.000185
1.69350,203.7773,-0.08535,0.000000,0.000000,0.000158
1.69400,203.6190,-0.08550,0.000000,0.000000,0.000131
1.69450,203.4547,-0.08565,0.000000,0.000000,0.001993
1.69500,203.2996,-0.08580,0.000000,0.000000,0.000598
1.69550,203.1448,-0.08595,0.000000,0.000000,0.000186
1.69600,202.9870,-0.08610,0.000000,0.000000,0.000144
1.69650,202.8231,-0.08625,0.000000,0.000000,0.001910
1.69700,202.6681,-0.08640,0.000000,0.000000,0.000367
1.69750,202.5134,-0.08655,0.000000,0.000000,0.000283
1.69800,202.3556,-0.08670,0.000000,0.000000,0.000229
1.69850,202.1917,-0.08685,0.000000,0.000000,0.001450
1.69900,202.0366,-0.08700,0.000000,0.000000,0.000289
1.69950,201.8784,-0.08715,0.000000,0.000000,0.000175
1.70000,201.7140,-0.08730,0.000000,0.000000,0.002445
1.70050,201.5593,-0.08745,0.000000,0.000000,0.000343
1.70100,201.4045,-0.08760,0.000000,0.000000,0.000242
1.70150,201.2465,-0.08775,0.000000,0.000000,0.000176
1.70200,201.0825,-0.08790,0.000000,0.000000,0.000166
1.70250,200.9264,-0.08805,0.000000,0.000000,0.000327
1.70300,200.7672,-0.08820,0.000000,0.000000,0.000234
1.70350,200.6018,-0.08835,0.000000,0.000000,0.000447
1.70400,200.4456,-0.08850,0.000000,0.000000,0.000357
1.70450,200.2863,-0.08865,0.000000,0.000000,0.000293
1.70500,200.1208,-0.08880,0.000000,0.000000,0.001609
