time_s,platform_height_mm,platform_drift_mm,platform_overshoot_mm,peak_actuator_force_n,latch_contact_state,contact_force_n
0.002,43.963989667896676,43.963989667896676,43.963989667896676,-286.056,0.0,0.0
0.004,41.92009343472774,41.92009343472774,41.92009343472774,-279.4702895208856,0.0,0.0
0.006,38.91997375612445,38.91997375612445,38.91997375612445,-266.4776499458773,0.0,0.0
0.008,35.037532418870505,35.037532418870505,35.037532418870505,-247.4064891729319,0.0,0.0
0.01,30.367094975553748,30.367094975553748,30.367094975553748,-222.72658608027604,0.0,0.0
0.012,25.02112280198871,25.02112280198871,25.02112280198871,-193.03754934060007,0.0,0.0
0.014,19.127508188371582,19.127508188371582,19.127508188371582,-159.05427342768184,0.0,0.0
0.016,12.826517451366177,12.826517451366177,12.826517451366177,-121.58974405184048,0.0,0.0
0.018000000000000002,6.267455070826311,6.267455070826311,6.267455070826311,-81.53560613484453,0.0,0.0
0.020000000000000004,-0.3948718706496771,-0.3948718706496771,-0.3948718706496771,-39.84095839422869,0.0,0.0
0.022000000000000006,-5.769570999149703,-5.769570999149703,-5.769570999149703,2.5101215073458674,0.0,0.0
0.024000000000000007,-10.012157807587378,-10.012157807587378,-10.012157807587378,36.67600892739483,0.0,0.0
0.02600000000000001,-13.30196761486599,-13.30196761486599,-13.30196761486599,63.64528475127145,0.0,0.0
0.02800000000000001,-15.917058536855988,-15.917058536855988,-15.917058536855988,84.55794773418013,0.0,0.0
0.030000000000000013,-17.97151843568975,-17.97151843568975,-17.97151843568975,101.18155770708614,0.0,0.0
0.032000000000000015,-19.42098060490017,-19.42098060490017,-19.42098060490017,114.2413483919926,0.0,0.0
0.034000000000000016,-20.369968595680643,-20.369968595680643,-20.369968595680643,123.4552895092294,0.0,0.0
0.03600000000000002,-20.907732354252726,-20.907732354252726,-20.907732354252726,129.4878163690227,0.0,0.0
0.03800000000000002,-21.050819962315266,-21.050819962315266,-21.050819962315266,132.90627302951373,0.0,0.0
0.04000000000000002,-20.797331408220952,-20.797331408220952,-20.797331408220952,133.8158523364457,0.0,0.0
0.04200000000000002,-20.154676109692378,-20.154676109692378,-20.154676109692378,132.20447629577896,0.0,0.0
0.044000000000000025,-19.13936476025766,-19.13936476025766,-19.13936476025766,128.1192450940925,0.0,0.0
0.04600000000000003,-17.776588456732277,-17.776588456732277,-17.776588456732277,121.6651139080059,0.0,0.0
0.04800000000000003,-16.65653349539817,-16.65653349539817,-16.65653349539817,113.00221750175574,0.0,0.0
0.05000000000000003,-15.751420003069141,-15.751420003069141,-15.751420003069141,105.88225212354708,0.0,0.0
0.05200000000000003,-15.025664897408285,-15.025664897408285,-15.025664897408285,100.12862667550992,0.0,0.0
0.054000000000000034,-14.4492612352708,-14.4492612352708,-14.4492612352708,95.515146619845,0.0,0.0
0.056000000000000036,-13.996925224105713,-13.996925224105713,-13.996925224105713,91.85106382036943,0.0,0.0
0.05800000000000004,-13.647377796942509,-13.647377796942509,-13.647377796942509,88.9756542645952,0.0,0.0
0.06000000000000004,-13.382728837843361,-13.382728837843361,-13.382728837843361,86.75365117960415,0.0,0.0
0.06200000000000004,-13.187949583054245,-13.187949583054245,-13.187949583054245,85.07133067640268,0.0,0.0
0.06400000000000004,-13.050430185600861,-13.050430185600861,-13.050430185600861,83.83315790955922,0.0,0.0
0.06600000000000004,-12.959604693729169,-12.959604693729169,-12.959604693729169,82.95897460382756,0.0,0.0
0.06800000000000005,-12.906633239020392,-12.906633239020392,-12.906633239020392,82.38161511709758,0.0,0.0
0.07000000000000005,-12.884132769916791,-12.884132769916791,-12.884132769916791,82.04488617380484,0.0,0.0
0.07200000000000005,-12.885948974238035,-12.885948974238035,-12.885948974238035,81.90185519180706,0.0,0.0
0.07400000000000005,-12.906963144996237,-12.906963144996237,-12.906963144996237,81.91340043943634,0.0,0.0
0.07600000000000005,-12.94292868712008,-12.94292868712008,-12.94292868712008,82.04698332011208,0.0,0.0
0.07800000000000006,-12.990332763790905,-12.990332763790905,-12.990332763790905,82.27560907828493,0.0,0.0
0.08000000000000006,-13.04627926140053,-13.04627926140053,-13.04627926140053,82.57694731286603,0.0,0.0
0.08200000000000006,-13.108389829850418,-13.108389829850418,-13.108389829850418,82.9325880088709,0.0,0.0
0.08400000000000006,-13.174720245489722,-13.174720245489722,-13.174720245489722,83.32741247039314,0.0,0.0
0.08600000000000006,-13.243689760556103,-13.243689760556103,-13.243689760556103,83.74906165652907,0.0,0.0
0.08800000000000006,-13.314021456692217,-13.314021456692217,-13.314021456692217,84.18748706990304,0.0,0.0
0.09000000000000007,-13.384691920438486,-13.384691920438486,-13.384691920438486,84.6345715959011,0.0,0.0
0.09200000000000007,-13.454888813584784,-13.454888813584784,-13.454888813584784,85.08380959984338,0.0,0.0
0.09400000000000007,-13.52397512774673,-13.52397512774673,-13.52397512774673,85.53003721019576,0.0,0.0
0.09600000000000007,-13.591459096309597,-13.591459096309597,-13.591459096309597,85.96920509206042,0.0,0.0
0.09800000000000007,-13.656968892891527,-13.656968892891527,-13.656968892891527,86.39818718342086,0.0,0.0
0.10000000000000007,-13.720231377902964,-13.720231377902964,-13.720231377902964,86.81461985833286,0.0,0.0
0.10200000000000008,-13.781054267178138,-13.781054267178138,-13.781054267178138,87.21676682305356,0.0,0.0
0.10400000000000008,-13.839311192047822,-13.839311192047822,-13.839311192047822,87.603405765598,0.0,0.0
0.10600000000000008,-13.894929201175021,-13.894929201175021,-13.894929201175021,87.97373338560959,0.0,0.0
0.10800000000000008,-13.947878323170103,-13.947878323170103,-13.947878323170103,88.32728594602938,0.0,0.0
0.11000000000000008,-13.998162867283792,-13.998162867283792,-13.998162867283792,88.66387292472771,0.0,0.0
0.11200000000000009,-14.04581418892129,-14.04581418892129,-14.04581418892129,88.98352171474961,0.0,0.0
0.11400000000000009,-14.090884688663772,-14.090884688663772,-14.090884688663772,89.28643163613485,0.0,0.0
0.11600000000000009,-14.13344284905373,-14.13344284905373,-14.13344284905373,89.57293578889787,0.0,0.0
0.11800000000000009,-14.173569172074862,-14.173569172074862,-14.173569172074862,89.84346950286475,0.0,0.0
0.12000000000000009,-14.2113533257865,-14.2113533257865,-14.2113533257865,90.09854451304548,0.0,0.0
0.1220000000000001,-14.246890708005466,-14.246890708005466,-14.246890708005466,90.33873082135963,0.0,0.0
0.1240000000000001,-14.280280245353891,-14.280280245353891,-14.280280245353891,90.56463485264915,0.0,0.0
0.12600000000000008,-14.311622616921861,-14.311622616921861,-14.311622616921861,90.77688546366562,0.0,0.0
0.12800000000000009,-14.341018832103797,-14.341018832103797,-14.341018832103797,90.97612265124889,0.0,0.0
0.1300000000000001,-14.368569103228912,-14.368569103228912,-14.368569103228912,91.16298851191742,0.0,0.0
0.1320000000000001,-14.394371962971032,-14.394371962971032,-14.394371962971032,91.33812007540556,0.0,0.0
0.1340000000000001,-14.418523584448964,-14.418523584448964,-14.418523584448964,91.50214369421425,0.0,0.0
0.1360000000000001,-14.441117268631533,-14.441117268631533,-14.441117268631533,91.65567072162517,0.0,0.0
0.1380000000000001,-14.462243069329537,-14.462243069329537,-14.462243069329537,91.79929425323694,0.0,0.0
0.1400000000000001,-14.481987530848489,-14.481987530848489,-14.481987530848489,91.933586743114,0.0,0.0
0.1420000000000001,-14.500433517423877,-14.500433517423877,-14.500433517423877,92.05909833609768,0.0,0.0
0.1440000000000001,-14.517660116976304,-14.517660116976304,-14.517660116976304,92.1763557835601,0.0,0.0
0.1460000000000001,-14.533742604608808,-14.533742604608808,-14.533742604608808,92.28586183159497,0.0,0.0
0.1480000000000001,-14.548752453699706,-14.548752453699706,-14.548752453699706,92.38809498897727,0.0,0.0
0.1500000000000001,-14.56275738449322,-14.56275738449322,-14.56275738449322,92.48350959767829,0.0,0.0
0.1520000000000001,-14.575821441814949,-14.575821441814949,-14.575821441814949,92.57253614174651,0.0,0.0
0.1540000000000001,-14.588005094989274,-14.588005094989274,-14.588005094989274,92.65558174132927,0.0,0.0
0.1560000000000001,-14.599365354256998,-14.599365354256998,-14.599365354256998,92.73303078782783,0.0,0.0
0.1580000000000001,-14.609955899012853,-14.609955899012853,-14.609955899012853,92.8052456839409,0.0,0.0
0.16000000000000011,-14.619827214040336,-14.619827214040336,-14.619827214040336,92.8725676588449,0.0,0.0
0.16200000000000012,-14.629026730640108,-14.629026730640108,-14.629026730640108,92.93531763421161,0.0,0.0
0.16400000000000012,-14.637598970147147,-14.637598970147147,-14.637598970147147,92.99379712133303,0.0,0.0
0.16600000000000012,-14.645585687832495,-14.645585687832495,-14.645585687832495,93.04828913343138,0.0,0.0
0.16800000000000012,-14.653026015601005,-14.653026015601005,-14.653026015601005,93.09905910041361,0.0,0.0
0.17000000000000012,-14.659956602243359,-14.659956602243359,-14.659956602243359,93.14635577597248,0.0,0.0
0.17200000000000013,-14.666411750285906,-14.666411750285906,-14.666411750285906,93.19041212914058,0.0,0.0
0.17400000000000013,-14.672423548718136,-14.672423548718136,-14.672423548718136,93.23144621421746,0.0,0.0
0.17600000000000013,-14.67802200107236,-14.67802200107236,-14.67802200107236,93.26966201449144,0.0,0.0
0.17800000000000013,-14.683235148487798,-14.683235148487798,-14.683235148487798,93.30525025641678,0.0,0.0
0.18000000000000013,-14.688089187523216,-14.688089187523216,-14.688089187523216,93.33838919190724,0.0,0.0
0.18200000000000013,-14.692608582583855,-14.692608582583855,-14.692608582583855,93.36924534724758,0.0,0.0
0.18400000000000014,-14.696816172915463,-14.696816172915463,-14.696816172915463,93.39797423776905,0.0,0.0
0.18600000000000014,-14.700733274183404,-14.700733274183404,-14.700733274183404,93.42472104798902,0.0,0.0
0.18800000000000014,-14.704379774708938,-14.704379774708938,-14.704379774708938,93.44962127732906,0.0,0.0
0.19000000000000014,-14.7077742264744,-14.7077742264744,-14.7077742264744,93.47280135186978,0.0,0.0
0.19200000000000014,-14.71093393104172,-14.71093393104172,-14.71093393104172,93.49437920285247,0.0,0.0
0.19400000000000014,-14.7138750205504,-14.7138750205504,-14.7138750205504,93.51446481284601,0.0,0.0
0.19600000000000015,-14.716612533979077,-14.716612533979077,-14.716612533979077,93.53316073063478,0.0,0.0
0.19800000000000015,-14.719160488864196,-14.719160488864196,-14.719160488864196,93.5505625559982,0.0,0.0
0.20000000000000015,-14.721531948678367,-14.721531948678367,-14.721531948678367,93.56675939561192,0.0,0.0
0.20200000000000015,-14.723739086072024,-14.723739086072024,-14.723739086072024,93.58183429135865,0.0,0.0
0.20400000000000015,-14.725793242183999,-14.725793242183999,-14.725793242183999,93.59586462234265,0.0,0.0
0.20600000000000016,-14.727704982223404,-14.727704982223404,-14.727704982223404,93.60892248191524,0.0,0.0
0.20800000000000016,-14.729484147523209,-14.729484147523209,-14.729484147523209,93.62107503099774,0.0,0.0
0.21000000000000016,-14.73113990426003,-14.73113990426003,-14.73113990426003,93.63238482897553,0.0,0.0
0.21200000000000016,-14.732680789029283,-14.732680789029283,-14.732680789029283,93.64291014340016,0.0,0.0
0.21400000000000016,-14.734114751456701,-14.734114751456701,-14.734114751456701,93.65270523970135,0.0,0.0
0.21600000000000016,-14.735449194022591,-14.735449194022591,-14.735449194022591,93.66182065205997,0.0,0.0
0.21800000000000017,-14.736691009265428,-14.736691009265428,-14.736691009265428,93.6703034365628,0.0,0.0
0.22000000000000017,-14.737846614525063,-14.737846614525063,-14.737846614525063,93.67819740769848,0.0,0.0
0.22200000000000017,-14.738921984377546,-14.738921984377546,-14.738921984377546,93.68554335921293,0.0,0.0
0.22400000000000017,-14.739922680905684,-14.739922680905684,-14.739922680905684,93.6923792702912,0.0,0.0
0.22600000000000017,-14.740853881942197,-14.740853881942197,-14.740853881942197,93.69874049798125,0.0,0.0
0.22800000000000017,-14.741720407415038,-14.741720407415038,-14.741720407415038,93.70465995673015,0.0,0.0
0.23000000000000018,-14.742526743916669,-14.742526743916669,-14.742526743916669,93.71016828585591,0.0,0.0
