t,theta_deg,force_N,pen_travel_mm,pen_seat_mm,pen_interface_mm
2.09500,-0.0000,-0.15000,0.000000,0.000019,0.000125
2.09550,-0.0000,-0.15000,0.000000,0.000019,0.000124
2.09600,-0.0000,-0.15000,0.000000,0.000019,0.000124
2.09650,-0.0000,-0.15000,0.000000,0.000019,0.000124
2.09700,-0.0000,-0.15000,0.000000,0.000019,0.000124
2.09750,-0.0000,-0.15000,0.000000,0.000019,0.000123
2.09800,-0.0000,-0.15000,0.000000,0.000019,0.000123
2.09850,-0.0000,-0.15000,0.000000,0.000019,0.000123
2.09900,-0.0000,-0.15000,0.000000,0.000019,0.000123
2.09950,-0.0000,-0.15000,0.000000,0.000019,0.000122
2.10000,-0.0000,-0.15000,0.000000,0.000019,0.000122
2.10050,-0.0000,-0.15000,0.000000,0.000019,0.000122
2.10100,-0.0000,-0.15000,0.000000,0.000019,0.000122
2.10150,-0.0000,-0.15000,0.000000,0.000019,0.000121
2.10200,-0.0000,-0.15000,0.000000,0.000019,0.000121
2.10250,-0.0000,-0.15000,0.000000,0.000019,0.000121
2.10300,-0.0000,-0.15000,0.000000,0.000019,0.000121
2.10350,-0.0000,-0.15000,0.000000,0.000019,0.000120
2.10400,-0.0000,-0.15000,0.000000,0.000019,0.000120
2.10450,-0.0000,-0.15000,0.000000,0.000019,0.000120
2.10500,-0.0000,-0.15000,0.000000,0.000019,0.000120
2.10550,-0.0000,-0.15000,0.000000,0.000019,0.000119
2.10600,-0.0000,-0.15000,0.000000,0.000019,0.000119
2.10650,-0.0000,-0.15000,0.000000,0.000019,0.000119
2.10700,-0.0000,-0.15000,0.000000,0.000019,0.000119
2.10750,-0.0000,-0.15000,0.000000,0.000019,0.000118
2.10800,-0.0000,-0.15000,0.000000,0.000019,0.000118
2.10850,-0.0000,-0.15000,0.000000,0.000019,0.000118
2.10900,-0.0000,-0.15000,0.000000,0.000019,0.000118
2.10950,-0.0000,-0.15000,0.000000,0.000019,0.000117
2.11000,-0.0000,-0.15000,0.000000,0.000019,0.000117
2.11050,-0.0000,-0.15000,0.000000,0.000019,0.000117
2.11100,-0.0000,-0.15000,0.000000,0.000019,0.000117
2.11150,-0.0000,-0.15000,0.000000,0.000019,0.000117
2.11200,-0.0000,-0.15000,0.000000,0.000019,0.000116
2.11250,-0.0000,-0.15000,0.000000,0.000019,0.000116
2.11300,-0.0000,-0.15000,0.000000,0.000019,0.000116
2.11350,-0.0000,-0.15000,0.000000,0.000019,0.000116
2.11400,-0.0000,-0.15000,0.000000,0.000019,0.000115
2.11450,-0.0000,-0.15000,0.000000,0.000019,0.000115
2.11500,-0.0000,-0.15000,0.000000,0.000019,0.000115
2.11550,-0.0000,-0.15000,0.000000,0.000019,0.000115
2.11600,-0.0000,-0.15000,0.000000,0.000019,0.000115
