t,theta_deg,force_N,penetration_mm
0.07600,-0.00000,0.01133,0.000001
0.07650,-0.00000,0.01140,0.000001
0.07700,-0.00000,0.01148,0.000001
0.07750,-0.00000,0.01155,0.000001
0.07800,-0.00000,0.01163,0.000001
0.07850,-0.00000,0.01170,0.000001
0.07900,-0.00000,0.01178,0.000001
0.07950,-0.00000,0.01185,0.000001
0.08000,-0.00000,0.01193,0.000001
0.08050,-0.00000,0.01200,0.000001
0.08100,-0.00000,0.01208,0.000001
0.08150,-0.00000,0.01215,0.000001
0.08200,-0.00000,0.01223,0.000001
0.08250,-0.00000,0.01230,0.000001
0.08300,-0.00000,0.01238,0.000001
0.08350,-0.00000,0.01245,0.000001
0.08400,-0.00000,0.01253,0.000001
0.08450,-0.00000,0.01260,0.000001
0.08500,-0.00000,0.01268,0.000001
0.08550,-0.00000,0.01275,0.000001
0.08600,-0.00000,0.01283,0.000001
0.08650,-0.00000,0.01290,0.000001
0.08700,-0.00000,0.01298,0.000001
0.08750,-0.00000,0.01305,0.000001
0.08800,-0.00000,0.01313,0.000001
0.08850,-0.00000,0.01320,0.000001
0.08900,-0.00000,0.01328,0.000001
0.08950,-0.00000,0.01335,0.000001
0.09000,-0.00000,0.01343,0.000001
0.09050,-0.00000,0.01350,0.000001
0.09100,-0.00000,0.01358,0.000001
0.09150,-0.00000,0.01365,0.000001
0.09200,-0.00000,0.01373,0.000001
0.09250,-0.00000,0.01380,0.000001
0.09300,-0.00000,0.01388,0.000001
0.09350,-0.00000,0.01395,0.000001
0.09400,-0.00000,0.01403,0.000001
0.09450,-0.00000,0.01410,0.000001
0.09500,-0.00000,0.01418,0.000001
0.09550,-0.00000,0.01425,0.000001
0.09600,-0.00000,0.01433,0.000001
0.09650,-0.00000,0.01440,0.000001
0.09700,-0.00000,0.01448,0.000001
0.09750,-0.00000,0.01455,0.000001
0.09800,-0.00000,0.01463,0.000001
0.09850,-0.00000,0.01470,0.000001
0.09900,-0.00000,0.01478,0.000001
0.09950,-0.00000,0.01485,0.000001
0.10000,-0.00000,0.01493,0.000001
0.10050,-0.00000,0.01500,0.000001
0.10100,-0.00000,0.01508,0.000001
0.10150,-0.00000,0.01515,0.000001
0.10200,-0.00000,0.01523,0.000001
0.10250,-0.00000,0.01530,0.000001
0.10300,-0.00000,0.01538,0.000001
0.10350,-0.00000,0.01545,0.000001
0.10400,-0.00000,0.01553,0.000001
0.10450,-0.00000,0.01560,0.000001
0.10500,-0.00000,0.01568,0.000001
0.10550,-0.00000,0.01575,0.000001
0.10600,-0.00000,0.01583,0.000001
0.10650,-0.00000,0.01590,0.000001
0.10700,-0.00000,0.01598,0.000001
0.10750,-0.00000,0.01605,0.000001
0.10800,-0.00000,0.01613,0.000001
0.10850,-0.00000,0.01620,0.000001
0.10900,-0.00000,0.01628,0.000001
0.10950,-0.00000,0.01635,0.000001
0.11000,-0.00000,0.01643,0.000001
0.11050,-0.00000,0.01650,0.000001
0.11100,-0.00000,0.01658,0.000001
0.11150,-0.00000,0.01665,0.000001
0.11200,-0.00000,0.01673,0.000001
0.11250,-0.00000,0.01680,0.000001
0.11300,-0.00000,0.01688,0.000001
