t,theta_deg,force_N,pin_radial_mm,pin_axial_mm,pen_travel_mm,pen_seat_mm,pen_stop_mm,pen_interface_mm
1.570000,218.801818,-0.004275,0.194315,0.024726,0.000000,0.000000,0.000000,0.000359
1.570500,218.801817,-0.004350,0.194315,0.024726,0.000000,0.000000,0.000000,0.000359
1.571000,218.801817,-0.004425,0.194315,0.024726,0.000000,0.000000,0.000000,0.000359
1.571500,218.801817,-0.004500,0.194315,0.024725,0.000000,0.000000,0.000000,0.000359
1.572000,218.801817,-0.004575,0.194315,0.024726,0.000000,0.000000,0.000000,0.000359
1.572500,218.801817,-0.004650,0.194315,0.024726,0.000000,0.000000,0.000000,0.000359
1.573000,218.801817,-0.004725,0.194315,0.024725,0.000000,0.000000,0.000000,0.000359
1.573500,218.801817,-0.004800,0.194315,0.024726,0.000000,0.000000,0.000000,0.000359
1.574000,218.801817,-0.004875,0.194315,0.024726,0.000000,0.000000,0.000000,0.000359
1.574500,218.801816,-0.004950,0.194315,0.024726,0.000000,0.000000,0.000000,0.000359
1.575000,218.801816,-0.005025,0.194315,0.024726,0.000000,0.000000,0.000000,0.000359
1.575500,218.801816,-0.005100,0.194315,0.024726,0.000000,0.000000,0.000000,0.000359
1.576000,218.801816,-0.005175,0.194315,0.024726,0.000000,0.000000,0.000000,0.000359
1.576500,218.801816,-0.005250,0.194314,0.024725,0.000000,0.000000,0.000000,0.000359
1.577000,218.801816,-0.005325,0.194314,0.024726,0.000000,0.000000,0.000000,0.000359
1.577500,218.801816,-0.005400,0.194314,0.024726,0.000000,0.000000,0.000000,0.000359
1.578000,218.801816,-0.005475,0.194314,0.024725,0.000000,0.000000,0.000000,0.000359
1.578500,218.801815,-0.005550,0.194314,0.024726,0.000000,0.000000,0.000000,0.000359
1.579000,218.801815,-0.005625,0.194314,0.024726,0.000000,0.000000,0.000000,0.000359
1.579500,218.801815,-0.005700,0.194314,0.024726,0.000000,0.000000,0.000000,0.000359
1.580000,218.801815,-0.005775,0.194314,0.024726,0.000000,0.000000,0.000000,0.000359
1.580500,218.801815,-0.005850,0.194314,0.024726,0.000000,0.000000,0.000000,0.000359
1.581000,218.801815,-0.005925,0.194314,0.024726,0.000000,0.000000,0.000000,0.000359
1.581500,218.801815,-0.006000,0.194314,0.024725,0.000000,0.000000,0.000000,0.000359
1.582000,218.801815,-0.006075,0.194314,0.024726,0.000000,0.000000,0.000000,0.000359
1.582500,218.801814,-0.006150,0.194314,0.024726,0.000000,0.000000,0.000000,0.000359
1.583000,218.801814,-0.006225,0.194313,0.024725,0.000000,0.000000,0.000000,0.000359
1.583500,218.801814,-0.006300,0.194313,0.024726,0.000000,0.000000,0.000000,0.000359
1.584000,218.801814,-0.006375,0.194313,0.024726,0.000000,0.000000,0.000000,0.000359
1.584500,218.801814,-0.006450,0.194313,0.024726,0.000000,0.000000,0.000000,0.000359
1.585000,218.801814,-0.006525,0.194313,0.024725,0.000000,0.000000,0.000000,0.000359
1.585500,218.801814,-0.006600,0.194313,0.024726,0.000000,0.000000,0.000000,0.000359
