time_s,lift_m,vel_m_s
0.002,0.0010749564575645756,0.5374782287822878
0.004,0.0032209027436990237,1.072973143067224
0.006,0.006433886866416001,1.6064920613584888
0.008,0.01070997141672443,2.138042275154214
0.01,0.016045233514817698,2.667631049046634
0.012,0.022435764756460436,3.1952656208213694
0.014,0.029877671159573127,3.720953201556346
0.016,0.03836707311101382,4.244700975720344
0.018000000000000002,0.0479001053135562,4.766516101271192
0.020000000000000004,0.058287752934328266,5.193823810386032
0.022000000000000006,0.06928320116220842,5.497724113940072
0.024000000000000007,0.08062628886840661,5.6715438530991005
0.02600000000000001,0.09204966040934694,5.711685770470161
0.02800000000000001,0.10116696878070214,4.558654185677604
0.030000000000000013,0.10834248459657062,3.5877579079342405
0.032000000000000015,0.1138835854546435,2.770550429036443
0.034000000000000016,0.11805454431674856,2.0854794310525304
0.03600000000000002,0.12108218364926825,1.5138196662598458
0.03800000000000002,0.12316081891157836,1.039317631155054
0.04000000000000002,0.12445657807915791,0.6478795837897791
0.04200000000000002,0.12495886073492503,0.25114132788356025
0.044000000000000025,0.1246588128793433,-0.1500239277908651
0.04600000000000003,0.12356643331211645,-0.5461897836134257
0.04800000000000003,0.12171026952455294,-0.9280818937817561
0.05000000000000003,0.1191366796206569,-1.2867949519480195
0.05200000000000003,0.11590867918130442,-1.6140002196762406
0.054000000000000034,0.1121044016519875,-1.9021387646584609
0.056000000000000036,0.10781520979465568,-2.1445959286659098
0.05800000000000004,0.10314350379058831,-2.335853002033687
0.06000000000000004,0.09820027852861708,-2.4716126309856143
0.06200000000000004,0.09310248830248076,-2.548895113068164
0.06400000000000004,0.08797028144381648,-2.566103429332137
0.06600000000000004,0.08292417023746443,-2.523055603176027
0.06800000000000005,0.07808220274270218,-2.420983747381123
0.07000000000000005,0.07355720285347482,-2.262499944613682
0.07200000000000005,0.06945414308524472,-2.05152988411505
0.07400000000000005,0.06586771122477826,-1.79321593023323
0.07600000000000005,0.0628801272061819,-1.493792009298182
0.07800000000000006,0.060517330449136306,-1.1813983785227973
0.08000000000000006,0.05875708509636368,-0.8801226763863106
0.08200000000000006,0.05763845748090548,-0.5593138077291004
0.08400000000000006,0.057185319463605354,-0.22656900865006313
0.08600000000000006,0.05740584454317258,0.11026253978361505
0.08800000000000006,0.05829237405937595,0.4432647581016838
0.09000000000000007,0.059821655262159226,0.7646406013916387
0.09200000000000007,0.06195544429013336,1.0668945139870685
0.09400000000000007,0.06464145856795438,1.3430071389105114
0.09600000000000007,0.0678146549929983,1.5865982125219626
0.09800000000000007,0.07139880272695537,1.792073866978539
0.10000000000000007,0.07530831261254098,1.9547549427928066
0.10200000000000008,0.07945027935605653,2.070983371757777
0.10400000000000008,0.08372668778756436,2.1382042157539103
0.10600000000000008,0.08803673084136185,2.15502152689875
0.10800000000000008,0.09227918447203697,2.121226815337557
0.11000000000000008,0.09564522787095901,1.6830216994610203
0.11200000000000009,0.09827803813264921,1.3164051308450957
0.11400000000000009,0.10029453721632246,1.008249541836629
0.11600000000000009,0.10179519061119334,0.7503266974354369
0.11800000000000009,0.1028661707439725,0.5354900663895801
0.12000000000000009,0.10358124806902212,0.35753866252481326
0.1220000000000001,0.10399466061528868,0.20670627313328283
0.1240000000000001,0.10409782419053852,0.05158178762491811
0.12600000000000008,0.10388946373483018,-0.10418022785416886
0.12800000000000009,0.1033756162584065,-0.25692373821184444
0.1300000000000001,0.10256946225078349,-0.40307700381150274
0.1320000000000001,0.10149099014859164,-0.5392360510959263
0.1340000000000001,0.10016650234870837,-0.6622438999416376
0.1360000000000001,0.09862797493874988,-0.7692637049792505
0.1380000000000001,0.09691228670340139,-0.8578441176742445
0.1400000000000001,0.09506033597402769,-0.9259753646868525
0.1420000000000001,0.09311606645133175,-0.9721347613479696
0.1440000000000001,0.09112542518806338,-0.9953206316341869
0.1460000000000001,0.08913527742452854,-0.9950738817674212
0.1480000000000001,0.08719230389062946,-0.9714867669495396
0.1500000000000001,0.08534190650492944,-0.9251986928500088
0.1520000000000001,0.08362714810858428,-0.8573791981725835
0.1540000000000001,0.08208775097902767,-0.7696985647783093
0.1560000000000001,0.08075917739820195,-0.66428679041286
0.1580000000000001,0.07967181353950145,-0.5436819293502484
0.16000000000000011,0.07881043463939552,-0.4306894500529675
0.16200000000000012,0.0781343176282143,-0.3380585055906134
0.16400000000000012,0.0776412894978897,-0.24651406516229507
0.16600000000000012,0.07734223951904164,-0.14952498942403075
0.16800000000000012,0.07724346666862238,-0.04938642520963195
0.17000000000000012,0.07734654881425965,0.0515410728186346
0.17200000000000013,0.07764832312355698,0.15088715464866587
0.17400000000000013,0.0781409777474627,0.24632731195286448
0.17600000000000013,0.07881225221650136,0.33563723451932814
0.17800000000000013,0.07964574144805332,0.41674461577598026
0.18000000000000013,0.0806212958513081,0.48777720162738736
0.18200000000000013,0.0817155077900948,0.5471059693933464
0.18400000000000014,0.08290227267405174,0.593382441978473
0.18600000000000014,0.08415341124133574,0.6255692836419987
0.18800000000000014,0.08543933821029424,0.642963484479255
0.19000000000000014,0.08672976144455107,0.6452116171284117
0.19200000000000014,0.08799439511871572,0.6323168370823248
0.19400000000000014,0.08920367010444931,0.6046374928667957
0.19600000000000015,0.09032942492374121,0.5628774096459526
0.19800000000000015,0.091227314016478,0.4489445463683957
0.20000000000000015,0.09193247746819251,0.35258172585725533
0.20200000000000015,0.09247645592962002,0.27198923071375086
0.20400000000000015,0.09288533947000398,0.20444177019197787
0.20600000000000016,0.09318151899480155,0.14808976239878668
0.20800000000000016,0.09338417468713203,0.10132784616524283
0.21000000000000016,0.09350970278570504,0.06276404928650248
0.21200000000000016,0.09357198805488047,0.03114263458771497
0.21400000000000016,0.09356980284827568,-0.001092603302395051
0.21600000000000016,0.09350343632233762,-0.03318326296902614
0.21800000000000017,0.09337468205659183,-0.06437713287289665
0.22000000000000017,0.09318679043058184,-0.09394581300499472
