t,theta_deg,force_N,pen_travel_mm,pen_seat_mm,pen_interface_mm
2.38450,84.8607,-0.12165,0.000000,0.000000,0.000000
2.38500,84.7528,-0.12180,0.000000,0.000000,0.000000
2.38550,84.6446,-0.12195,0.000000,0.000000,0.000000
2.38600,84.5362,-0.12210,0.000000,0.000000,0.000000
2.38650,84.4274,-0.12225,0.000000,0.000000,0.000000
2.38700,84.3184,-0.12240,0.000000,0.000000,0.000000
2.38750,84.2091,-0.12255,0.000000,0.000000,0.000000
2.38800,84.0994,-0.12270,0.000000,0.000000,0.000000
2.38850,83.9895,-0.12285,0.000000,0.000000,0.000000
2.38900,83.8793,-0.12300,0.000000,0.000000,0.000000
2.38950,83.7688,-0.12315,0.000000,0.000000,0.000000
2.39000,83.6580,-0.12330,0.000000,0.000000,0.000000
2.39050,83.5468,-0.12345,0.000000,0.000000,0.000000
2.39100,83.4354,-0.12360,0.000000,0.000000,0.000000
2.39150,83.3237,-0.12375,0.000000,0.000000,0.000000
2.39200,83.2117,-0.12390,0.000000,0.000000,0.000000
2.39250,83.0994,-0.12405,0.000000,0.000000,0.000000
2.39300,82.9868,-0.12420,0.000000,0.000000,0.000000
2.39350,82.8739,-0.12435,0.000000,0.000000,0.000000
2.39400,82.7607,-0.12450,0.000000,0.000000,0.000000
2.39450,82.6471,-0.12465,0.000000,0.000000,0.000000
2.39500,82.5333,-0.12480,0.000000,0.000000,0.000000
2.39550,82.4192,-0.12495,0.000000,0.000000,0.000000
2.39600,82.3048,-0.12510,0.000000,0.000000,0.000000
2.39650,82.1901,-0.12525,0.000000,0.000000,0.000000
2.39700,82.0750,-0.12540,0.000000,0.000000,0.000000
2.39750,81.9597,-0.12555,0.000000,0.000000,0.000000
2.39800,81.8441,-0.12570,0.000000,0.000000,0.000000
2.39850,81.7281,-0.12585,0.000000,0.000000,0.000000
2.39900,81.6119,-0.12600,0.000000,0.000000,0.000000
2.39950,81.4953,-0.12615,0.000000,0.000000,0.000000
2.40000,81.3785,-0.12630,0.000000,0.000000,0.000000
2.40050,81.2613,-0.12645,0.000000,0.000000,0.000000
2.40100,81.1438,-0.12660,0.000000,0.000000,0.000000
2.40150,81.0261,-0.12675,0.000000,0.000000,0.000000
2.40200,80.9080,-0.12690,0.000000,0.000000,0.000000
2.40250,80.7896,-0.12705,0.000000,0.000000,0.000000
2.40300,80.6709,-0.12720,0.000000,0.000000,0.000000
2.40350,80.5519,-0.12735,0.000000,0.000000,0.000000
2.40400,80.4325,-0.12750,0.000000,0.000000,0.000000
2.40450,80.3129,-0.12765,0.000000,0.000000,0.000000
2.40500,80.1929,-0.12780,0.000000,0.000000,0.000000
2.40550,80.0727,-0.12795,0.000000,0.000000,0.000000
2.40600,79.9521,-0.12810,0.000000,0.000000,0.000000
2.40650,79.8312,-0.12825,0.000000,0.000000,0.000000
2.40700,79.7100,-0.12840,0.000000,0.000000,0.000000
2.40750,79.5885,-0.12855,0.000000,0.000000,0.000000
2.40800,79.4667,-0.12870,0.000000,0.000000,0.000000
2.40850,79.3446,-0.12885,0.000000,0.000000,0.000000
2.40900,79.2221,-0.12900,0.000000,0.000000,0.000000
2.40950,79.0994,-0.12915,0.000000,0.000000,0.000000
2.41000,78.9763,-0.12930,0.000000,0.000000,0.000000
2.41050,78.8529,-0.12945,0.000000,0.000000,0.000000
2.41100,78.7292,-0.12960,0.000000,0.000000,0.000000
2.41150,78.6052,-0.12975,0.000000,0.000000,0.000000
2.41200,78.4808,-0.12990,0.000000,0.000000,0.000000
2.41250,78.3562,-0.13005,0.000000,0.000000,0.000000
2.41300,78.2312,-0.13020,0.000000,0.000000,0.000000
2.41350,78.1059,-0.13035,0.000000,0.000000,0.000000
2.41400,77.9803,-0.13050,0.000000,0.000000,0.000000
2.41450,77.8544,-0.13065,0.000000,0.000000,0.000000
2.41500,77.7281,-0.13080,0.000000,0.000000,0.000000
2.41550,77.6016,-0.13095,0.000000,0.000000,0.000000
2.41600,77.4747,-0.13110,0.000000,0.000000,0.000000
2.41650,77.3475,-0.13125,0.000000,0.000000,0.000000
2.41700,77.2199,-0.13140,0.000000,0.000000,0.000000
2.41750,77.0921,-0.13155,0.000000,0.000000,0.000000
2.41800,76.9639,-0.13170,0.000000,0.000000,0.000000
2.41850,76.8354,-0.13185,0.000000,0.000000,0.000000
2.41900,76.7066,-0.13200,0.000000,0.000000,0.000000
2.41950,76.5774,-0.13215,0.000000,0.000000,0.000000
2.42000,76.4480,-0.13230,0.000000,0.000000,0.000000
2.42050,76.3182,-0.13245,0.000000,0.000000,0.000000
2.42100,76.1881,-0.13260,0.000000,0.000000,0.000000
2.42150,76.0576,-0.13275,0.000000,0.000000,0.000000
