time_s,lid_angle_deg,beam_deflection_deg,input_torque_nmm,release_force_n,latch_contact_state,contact_force_n
0.0002,54.99324825544927,7.978195667388555e-07,-488.6921905584123,0.0,0.0,0.0
0.0004,54.97975735308106,2.127843740101196e-06,-488.6332704720803,-4.210792470791726e-05,0.0,0.0
0.0006000000000000001,54.95954061326166,3.770081619486216e-06,-488.5155401393852,-0.0001123049467997343,0.0,0.0
0.0008,54.93261208722875,5.549228189641565e-06,-488.3391158024514,-0.00019898022008275836,0.0,0.0
0.001,54.89898655426148,7.3315905825512806e-06,-488.10412008145977,-0.0002928813638296783,0.0,0.0
0.0012000000000000001,54.85867951878237,9.020640097021572e-06,-487.81068194995134,-0.00038695223470295643,0.0,0.0
0.0014000000000000002,54.8117072073916,1.0551812414995646e-05,-487.45893670953706,-0.00047609816787927216,0.0,0.0
0.0016000000000000003,54.75808656583405,1.1887044960821661e-05,-487.04902596401655,-0.0005569115389321326,0.0,0.0
0.0018000000000000004,54.69783525589949,1.3009417903880238e-05,-486.5810975929111,-0.0006273834524463896,0.0,0.0
0.0020000000000000005,54.630971652256406,1.3918157390718002e-05,-486.0553057244123,-0.0006866209008004027,0.0,0.0
0.0022000000000000006,54.55751483921978,1.4624167941890493e-05,-485.4718107077521,-0.0007345830409711274,0.0,0.0
0.0024000000000000007,54.477484607453405,1.5146185936621311e-05,-484.8307790849966,-0.0007718453999945898,0.0,0.0
0.0026000000000000007,54.39090145060708,1.5507587113057026e-05,-484.1323835622679,-0.0007993968606690285,0.0,0.0
0.002800000000000001,54.29778656188921,1.573383672562518e-05,-483.37680298039845,-0.0008184711653879663,0.0,0.0
0.003000000000000001,54.19816183057517,1.585053969208382e-05,-482.56422228502095,-0.00083041233861609,0.0,0.0
0.003200000000000001,54.092049838452006,1.5882027786916653e-05,-481.6948324960985,-0.0008365717760750105,0.0,0.0
0.003400000000000001,53.979473856200016,1.5850409701450882e-05,-480.76883067689886,-0.0008382336785673701,0.0,0.0
0.003600000000000001,53.8604578397114,1.5775005672802184e-05,-479.78641990241687,-0.0008365649153310367,0.0,0.0
0.0038000000000000013,53.73502642634679,1.5672089616581115e-05,-478.7478092272497,-0.0008325851844578126,0.0,0.0
0.004000000000000001,53.603204931130065,1.5554866721667056e-05,-477.65321365292857,-0.0008271534029783154,0.0,0.0
0.004200000000000001,53.465019342881746,1.5433621951155534e-05,-476.5028540947116,-0.0008209665243420072,0.0,0.0
0.0044,53.320496320291845,1.5315983752478734e-05,-475.29695734784246,-0.0008145673761125442,0.0,0.0
0.0046,53.16966318793231,1.5207256652910098e-05,-474.0357560532785,-0.0008083585782600354,0.0,0.0
0.0048,53.01254793220987,1.511078565764624e-05,-472.7194886628933,-0.0008026200971382193,0.0,0.0
0.004999999999999999,52.84917919725964,1.5028324017527255e-05,-471.3483994041586,-0.0007975284779621281,0.0,0.0
0.005199999999999999,52.679586280780015,1.4960383693193892e-05,-469.92273824430885,-0.0007931762551310753,0.0,0.0
0.0053999999999999986,52.50379912980951,1.4906554544333363e-05,-468.4427608539943,-0.0007895904492910973,0.0,0.0
0.005599999999999998,52.32184833644589,1.48657838524961e-05,-466.90872857042643,-0.0007867494137464624,0.0,0.0
0.005799999999999998,52.133765133508334,1.4836612257739817e-05,-465.32090836002095,-0.0007845975873263728,0.0,0.0
0.0059999999999999975,51.939581390142976,1.4817365622599105e-05,-463.67957278054246,-0.0007830579468276716,0.0,0.0
0.006199999999999997,51.73932960737248,1.4806304837414299e-05,-461.98499994275585,-0.0007820421333565898,0.0,0.0
0.006399999999999997,51.53304291359022,1.4801737275197747e-05,-460.23747347158906,-0.0007814583588677339,0.0,0.0
0.0065999999999999965,51.3207550599995,1.4802094626274262e-05,-458.4372824668122,-0.0007812172886133411,0.0,0.0
0.006799999999999996,51.10250041599845,1.4805982325763311e-05,-456.5847214632373,-0.0007812361491588222,0.0,0.0
0.006999999999999996,50.87831396451113,1.4812205855259459e-05,-454.6800903904441,-0.0007814413371038121,0.0,0.0
0.0071999999999999955,50.64823129726538,1.4819778965918902e-05,-452.723694532036,-0.0007817698072521596,0.0,0.0
0.007399999999999995,50.412288610017995,1.4827918430601476e-05,-450.71584448443156,-0.00078216950661621,0.0,0.0
0.007599999999999995,50.17052269772773,1.4836029368697044e-05,-448.6568561151965,-0.0007825990974413856,0.0,0.0
0.0077999999999999944,49.92297094967676,1.4843684563803506e-05,-446.54705052092004,-0.0007830271826687697,0.0,0.0
0.007999999999999995,49.66967134454108,1.4850600561572437e-05,-444.3867539846416,-0.0007834312143478685,0.0,0.0
0.008199999999999995,49.41066244541048,1.4856612729375011e-05,-442.176297932832,-0.0007837962321106247,0.0,0.0
0.008399999999999996,49.145983394758545,1.4861650905867917e-05,-439.9160188919345,-0.0007841135468515968,0.0,0.0
0.008599999999999997,48.87567390936334,1.4865716782211389e-05,-437.60625844447003,-0.0007843794555423245,0.0,0.0
0.008799999999999997,48.59977427517924,1.4868863744921499e-05,-435.24736318471116,-0.0007845940474401422,0.0,0.0
0.008999999999999998,48.318325342160556,1.4871179574399574e-05,-432.8396846739309,-0.0007847601402189864,0.0,0.0
0.009199999999999998,48.03136851903739,1.4872772129917527e-05,-430.38357939523036,-0.0007848823668192912,0.0,0.0
0.009399999999999999,47.73894576804442,1.487375795508101e-05,-427.87940870794927,-0.000784966419919314,0.0,0.0
0.0096,47.44109959960296,1.4874253599522313e-05,-425.3275388016658,-0.0007850184505456481,0.0,0.0
0.0098,47.13787306695705,1.4874369363880451e-05,-422.7283406497892,-0.0007850446100429659,0.0,0.0
0.01,46.82930976076401,1.4874205126917195e-05,-420.08218996275065,-0.0007850507199418449,0.0,0.0
0.0102,46.51545380363996,1.4873847897177687e-05,-417.3894671407967,-0.0007850420517191397,0.0,0.0
0.010400000000000001,46.19634984466095,1.4873370738941016e-05,-414.6505572263903,-0.000785023197577675,0.0,0.0
